ar,ma,garch.p,garch.q,AIC,BIC
2,0,2,1,-3.82982106345614,-3.80265173885661
0,0,2,2,-3.82662560734626,-3.80247509659112
1,1,2,1,-3.82931402316983,-3.8021446985703
2,1,2,3,-3.83820557058693,-3.80197980445421
2,1,3,1,-3.83783802320978,-3.80161225707707
1,2,2,3,-3.83779191909889,-3.80156615296618
2,2,2,2,-3.83766256872502,-3.80143680259231
1,0,2,2,-3.82855166780183,-3.8013823432023
0,1,2,2,-3.82835101393062,-3.80118168933109
1,2,3,1,-3.83739220409198,-3.80116643795926
2,2,1,4,-3.83723031083711,-3.8010045447044
4,3,1,2,-3.8402027421322,-3.80095816215509
3,0,1,2,-3.8280797378402,-3.80091041324067
0,3,1,2,-3.82804816482307,-3.80087884022353
1,3,2,2,-3.83707615330294,-3.80085038717023
3,1,2,2,-3.83705594694959,-3.80083018081688
2,3,2,1,-3.83702249278917,-3.80079672665646
0,2,1,3,-3.82796038129082,-3.80079105669128
3,2,2,1,-3.83699100896889,-3.80076524283618
1,3,1,4,-3.83694507498008,-3.80071930884737
3,4,1,2,-3.83995115808608,-3.80070657810898
3,1,1,4,-3.83691798429711,-3.80069221816439
2,0,1,3,-3.82784097225801,-3.80067164765848
0,2,3,3,-3.83962808941564,-3.80038350943854
1,4,2,1,-3.83654720308866,-3.80032143695595
0,0,1,4,-3.82434717623369,-3.80019666547854
4,0,1,1,-3.82732754551125,-3.80015822091172
0,4,1,1,-3.82729929423439,-3.80012996963486
1,1,1,3,-3.82729770845759,-3.80012838385806
4,1,2,1,-3.83633406519987,-3.80010829906716
1,0,1,4,-3.82725294331394,-3.80008361871441
3,2,1,3,-3.83610640297318,-3.79988063684047
3,2,3,3,-3.84816870760554,-3.79986768609526
2,3,1,3,-3.83608787968238,-3.79986211354967
2,0,3,3,-3.83910283646458,-3.79985825648747
2,3,3,3,-3.84814846987798,-3.7998474483677
0,1,1,4,-3.82696095435272,-3.79979162975319
3,3,1,2,-3.83598398051613,-3.79975821438342
1,4,1,3,-3.83550478899716,-3.79927902286444
0,0,3,1,-3.82630338368996,-3.79913405909043
4,2,1,2,-3.8353399532677,-3.79911418713499
4,1,1,3,-3.83528479292403,-3.79905902679132
0,0,2,3,-3.82621427080956,-3.79904494621002
0,2,2,2,-3.82880565155491,-3.79861751311098
2,0,2,2,-3.82872757405068,-3.79853943560675
2,1,2,4,-3.8376811698968,-3.79843658991969
3,0,2,1,-3.82861417177104,-3.79842603332711
0,3,2,1,-3.82858195296426,-3.79839381452033
1,0,3,1,-3.82826414304082,-3.79807600459689
1,1,2,2,-3.82822114187977,-3.79803300343585
1,2,2,4,-3.83721820860145,-3.79797362862435
2,2,2,3,-3.83717031446923,-3.79792573449212
3,4,2,1,-3.84015582148363,-3.79789242766214
0,1,3,1,-3.82803384238924,-3.79784570394532
4,4,1,1,-3.8370092244551,-3.79776464447799
0,2,1,4,-3.82789757462618,-3.79770943618225
2,2,3,1,-3.83691734033049,-3.79767276035339
1,3,2,3,-3.83690446264102,-3.79765988266391
3,1,2,3,-3.83689352486537,-3.79764894488826
2,0,1,4,-3.8277603157634,-3.79757217731947
2,1,3,2,-3.83676309461693,-3.79751851463983
1,3,3,1,-3.83667569635266,-3.79743111637556
3,1,3,1,-3.83664368925499,-3.79739910927788
1,2,3,2,-3.83631663521315,-3.79707205523604
3,2,2,2,-3.83620278839722,-3.79695820842012
1,1,1,4,-3.82713785777498,-3.79694971933106
2,3,2,2,-3.83615689058318,-3.79691231060608
2,3,1,4,-3.83615367982073,-3.79690909984362
3,0,1,3,-3.82706615112785,-3.79687801268392
4,3,1,3,-3.83913294077437,-3.79686954695288
0,3,1,3,-3.82703089667075,-3.79684275822683
1,4,1,4,-3.83590523811794,-3.79666065814084
3,2,1,4,-3.83589095832242,-3.79664637834532
3,3,2,1,-3.8358707620189,-3.7966261820418
3,4,1,3,-3.83888761113795,-3.79662421731645
1,0,2,3,-3.82672007470867,-3.79653193626474
4,0,1,2,-3.82667018244614,-3.79648204400222
1,4,2,2,-3.83570595961232,-3.79646137963521
0,4,1,2,-3.82663795191816,-3.79644981347423
4,1,1,4,-3.83566303332603,-3.79641845334892
0,1,2,3,-3.8264882808093,-3.79630014236537
4,1,2,2,-3.83549462482054,-3.79625004484343
3,0,3,3,-3.83846249978499,-3.79619910596349
4,2,2,1,-3.83526105746913,-3.79601647749202
0,3,3,3,-3.83818556535297,-3.79592217153148
2,1,4,1,-3.83815482419194,-3.79589143037045
3,3,3,3,-3.84714053878127,-3.79582070342659
0,2,3,1,-3.82889024311712,-3.7956832908288
3,3,1,3,-3.83489013191683,-3.79564555193972
2,0,3,1,-3.82879593385316,-3.79558898156484
0,0,2,4,-3.82567727717325,-3.79548913872933
1,2,4,1,-3.83766268591556,-3.79539929209406
4,3,2,1,-3.83743076472397,-3.79516737090247
0,0,3,2,-3.82523185005469,-3.79504371161076
4,2,1,3,-3.83425183541381,-3.7950072554367
1,1,3,1,-3.82815791421218,-3.79495096192386
2,2,2,4,-3.83673217803568,-3.79446878421419
1,0,2,4,-3.8276165520658,-3.79440959977749
