ar,ma,garch.p,garch.q,AIC,BIC
3,1,1,4,-3.82216329309913,-3.79197515465521
4,0,1,1,-3.81308469150974,-3.791952994599
0,4,1,1,-3.81300279979149,-3.79187110288075
1,1,2,2,-3.81297933304655,-3.79184763613581
4,3,2,1,-3.82500136574562,-3.7917944134573
1,2,2,4,-3.82185444146574,-3.79166630302181
3,3,1,2,-3.82177334842271,-3.79158520997878
1,4,1,3,-3.82177021202117,-3.79158207357724
3,2,2,2,-3.82175468863127,-3.79156655018734
2,2,3,2,-3.82170234336948,-3.79151420492555
1,0,2,3,-3.81260670255202,-3.79147500564127
2,3,2,2,-3.82166306006576,-3.79147492162183
1,0,1,4,-3.81259518797039,-3.79146349105964
3,4,2,1,-3.82466064663421,-3.79145369434589
1,1,3,1,-3.81255746598608,-3.79142576907533
4,1,1,3,-3.82158183711927,-3.79139369867534
1,3,3,2,-3.82154410098951,-3.79135596254559
2,4,4,2,-3.83058371598053,-3.79133913600343
3,1,3,2,-3.8214868424532,-3.79129870400927
2,4,1,2,-3.82148557247772,-3.79129743403379
0,1,2,3,-3.81241508456001,-3.79128338764926
0,1,1,4,-3.81240365950971,-3.79127196259897
3,2,3,1,-3.82141874566898,-3.79123060722505
2,3,3,1,-3.82138123424295,-3.79119309579903
2,4,3,2,-3.82737249841929,-3.79114673228658
1,0,3,2,-3.81210059650345,-3.7909688995927
1,4,2,2,-3.82108422577522,-3.79089608733129
2,4,2,3,-3.82705002846698,-3.79082426233427
4,2,1,2,-3.82098313195194,-3.79079499350801
0,1,3,2,-3.81192027921224,-3.79078858230149
4,1,2,2,-3.82090719877657,-3.79071906033265
0,0,4,2,-3.81179722148571,-3.79066552457496
3,3,2,1,-3.82085276047523,-3.79066462203131
1,4,3,1,-3.82076396172011,-3.79057582327618
0,2,4,1,-3.81459452432727,-3.79044401357213
4,1,3,1,-3.82058580025523,-3.79039766181131
2,0,4,1,-3.81439121391496,-3.79024070315982
4,2,2,1,-3.82026594218358,-3.79007780373965
2,2,4,2,-3.82297141771468,-3.78976446542636
2,1,4,3,-3.82289535247099,-3.78968840018267
1,3,4,2,-3.82286750969908,-3.78966055741076
3,1,4,2,-3.82276925374956,-3.78956230146125
3,0,1,3,-3.81366410196211,-3.78951359120697
0,3,1,3,-3.81362509308271,-3.78947458232757
0,0,3,3,-3.81051017480242,-3.78937847789167
1,1,4,1,-3.81340778280693,-3.78925727205179
4,3,1,3,-3.82547915726475,-3.78925339113204
1,2,4,3,-3.82243976585864,-3.78923281357032
1,0,4,2,-3.81334475558487,-3.78919424482972
4,4,1,1,-3.82233577274506,-3.78912882045674
0,2,1,4,-3.81314080032041,-3.78899028956527
0,1,4,2,-3.81312783510526,-3.78897732435012
3,4,1,3,-3.82515096815857,-3.78892520202586
0,0,2,4,-3.810055556086,-3.78892385917525
0,2,2,3,-3.81305724642814,-3.788906735673
2,0,1,4,-3.81298241354609,-3.78883190279095
3,0,2,2,-3.81290807103362,-3.78875756027848
2,0,2,3,-3.81289687020102,-3.78874635944588
0,3,2,2,-3.81286323422333,-3.78871272346818
2,3,4,1,-3.82190265644992,-3.7886957041616
2,4,2,4,-3.82793499441624,-3.78869041443913
3,0,3,1,-3.81281709594774,-3.7886665851926
0,3,3,1,-3.81276111966668,-3.78861060891154
3,2,4,1,-3.82181029462749,-3.78860334233917
2,2,3,3,-3.82178471566059,-3.78857776337227
4,0,1,2,-3.81264892035475,-3.7884984095996
1,4,4,1,-3.82167278698361,-3.78846583469529
1,3,3,3,-3.82162960867392,-3.7884226563856
0,4,1,2,-3.81256076329227,-3.78841025253713
0,2,3,2,-3.81255244075829,-3.78840193000315
3,1,3,3,-3.82156256317424,-3.78835561088592
3,2,2,3,-3.8215477733992,-3.78834082111088
2,3,2,3,-3.82151184675407,-3.78830489446575
4,1,4,1,-3.82147767699023,-3.78827072470191
3,2,1,4,-3.82147539062146,-3.78826843833315
2,0,3,2,-3.81240835652901,-3.78825784577387
2,3,1,4,-3.82143446859273,-3.78822751630441
2,2,2,4,-3.82130650050706,-3.78809954821874
1,1,1,4,-3.81224781052755,-3.78809729977241
1,1,2,3,-3.81221047269343,-3.78805996193829
3,3,1,3,-3.82116486588281,-3.78795791359449
2,1,3,4,-3.8211543706098,-3.78794741832148
1,3,2,4,-3.82113729693642,-3.78793034464811
1,4,1,4,-3.8211357686865,-3.78792881639818
3,1,2,4,-3.82107819797944,-3.78787124569112
4,0,2,1,-3.8119887999099,-3.78783828915476
1,0,3,3,-3.81197327764558,-3.78782276689043
0,4,2,1,-3.81190690214076,-3.78775639138562
4,1,1,4,-3.82094888413697,-3.78774193184865
2,4,3,3,-3.8269837682911,-3.787739188314
1,2,3,4,-3.82088294372749,-3.78767599143917
0,1,3,3,-3.8117734025994,-3.78762289184426
1,1,3,2,-3.81172010978026,-3.78756959902512
1,4,2,3,-3.82076573266835,-3.78755878038003
3,2,3,2,-3.82076341689843,-3.78755646461011
2,3,3,2,-3.82072582491831,-3.78751887262999
3,2,3,4,-3.82669633876575,-3.78745175878865
4,1,2,3,-3.82057940816021,-3.78737245587189
4,2,1,3,-3.8205690243712,-3.78736207208288
1,0,2,4,-3.81149929584441,-3.78734878508927
3,3,2,2,-3.82047945378493,-3.78727250149661
2,4,2,2,-3.82038967896159,-3.78718272667327
0,1,2,4,-3.81130658474589,-3.78715607399075
0,2,4,2,-3.81431971900092,-3.78715039440139
3,3,3,1,-3.82018074095191,-3.78697378866359
3,0,4,1,-3.81413140196517,-3.78696207736563
2,0,4,2,-3.81412405720984,-3.78695473261031
0,3,4,1,-3.81406249954462,-3.78689317494509
1,4,3,2,-3.82009762343677,-3.78689067114845
4,1,3,2,-3.81992032824579,-3.78671337595747
4,2,2,2,-3.81988724211495,-3.78668028982663
0,0,4,3,-3.8107982306624,-3.78664771990726
4,2,3,1,-3.81956299996981,-3.78635604768149
1,1,4,2,-3.81316753153529,-3.78599820693576
2,2,4,3,-3.82204821310507,-3.78582244697236
2,3,4,2,-3.82201529118493,-3.78578952505222
2,1,4,4,-3.82199925897285,-3.78577349284014
1,3,4,3,-3.82193785777425,-3.78571209164154
3,1,4,3,-3.82184152329262,-3.78561575715991
4,4,1,2,-3.82182451809041,-3.7855987519577
1,4,4,2,-3.82177196567162,-3.78554619953891
4,3,1,4,-3.82475537599522,-3.78551079601812
4,3,2,2,-3.82172459155814,-3.78549882542543
3,2,4,2,-3.82168163179809,-3.78545586566538
3,0,1,4,-3.81260963802638,-3.78544031342685
3,4,4,1,-3.82467103912857,-3.78542645915147
3,0,2,3,-3.81259479569522,-3.78542547109568
0,3,1,4,-3.81256108520802,-3.78539176060849
0,3,2,3,-3.81255490236079,-3.78538557776126
3,4,2,2,-3.82159472565605,-3.78536895952334
4,1,4,2,-3.82156970696309,-3.78534394083038
0,2,3,3,-3.81250217728121,-3.78533285268168
