Date,Line_all,value,Line
2019-10-06,Pred,0,Pred
2019-10-06,lower.confint,-0.0890981094315166,0.95 confint
2019-10-06,upper.confint,0.0890981094315166,0.95 confint
2019-10-07,Pred,0,Pred
2019-10-07,lower.confint,-0.0927471300501086,0.95 confint
2019-10-07,upper.confint,0.0927471300501086,0.95 confint
2019-10-08,Pred,0,Pred
2019-10-08,lower.confint,-0.0999432338615918,0.95 confint
2019-10-08,upper.confint,0.0999432338615918,0.95 confint
2019-10-09,Pred,0,Pred
2019-10-09,lower.confint,-0.0944588130798869,0.95 confint
2019-10-09,upper.confint,0.0944588130798869,0.95 confint
2019-10-10,Pred,0,Pred
2019-10-10,lower.confint,-0.103531009031544,0.95 confint
2019-10-10,upper.confint,0.103531009031544,0.95 confint
2019-10-11,Pred,0,Pred
2019-10-11,lower.confint,-0.0976525868863652,0.95 confint
2019-10-11,upper.confint,0.0976525868863652,0.95 confint
2019-10-12,Pred,0,Pred
2019-10-12,lower.confint,-0.100967606644924,0.95 confint
2019-10-12,upper.confint,0.100967606644924,0.95 confint
2019-10-13,Pred,0,Pred
2019-10-13,lower.confint,-0.0954171069847564,0.95 confint
2019-10-13,upper.confint,0.0954171069847564,0.95 confint
2019-10-14,Pred,0,Pred
2019-10-14,lower.confint,-0.0902058687559757,0.95 confint
2019-10-14,upper.confint,0.0902058687559757,0.95 confint
2019-10-15,Pred,0,Pred
2019-10-15,lower.confint,-0.0860079724916241,0.95 confint
2019-10-15,upper.confint,0.0860079724916241,0.95 confint
2019-10-16,Pred,0,Pred
2019-10-16,lower.confint,-0.0857238532843731,0.95 confint
2019-10-16,upper.confint,0.0857238532843731,0.95 confint
2019-10-17,Pred,0,Pred
2019-10-17,lower.confint,-0.0840384856014118,0.95 confint
2019-10-17,upper.confint,0.0840384856014118,0.95 confint
2019-10-18,Pred,0,Pred
2019-10-18,lower.confint,-0.0804493029343825,0.95 confint
2019-10-18,upper.confint,0.0804493029343825,0.95 confint
2019-10-19,Pred,0,Pred
2019-10-19,lower.confint,-0.078102560691009,0.95 confint
2019-10-19,upper.confint,0.078102560691009,0.95 confint
2019-10-20,Pred,0,Pred
2019-10-20,lower.confint,-0.0742408842025985,0.95 confint
2019-10-20,upper.confint,0.0742408842025985,0.95 confint
2019-10-21,Pred,0,Pred
2019-10-21,lower.confint,-0.0791092895370724,0.95 confint
2019-10-21,upper.confint,0.0791092895370724,0.95 confint
2019-10-22,Pred,0,Pred
2019-10-22,lower.confint,-0.0751977906873943,0.95 confint
2019-10-22,upper.confint,0.0751977906873943,0.95 confint
2019-10-23,Pred,0,Pred
2019-10-23,lower.confint,-0.0765286539011413,0.95 confint
2019-10-23,upper.confint,0.0765286539011413,0.95 confint
2019-10-24,Pred,0,Pred
2019-10-24,lower.confint,-0.103488027369235,0.95 confint
2019-10-24,upper.confint,0.103488027369235,0.95 confint
2019-10-25,Pred,0,Pred
2019-10-25,lower.confint,-0.0977249904682198,0.95 confint
2019-10-25,upper.confint,0.0977249904682198,0.95 confint
2019-10-26,Pred,0,Pred
2019-10-26,lower.confint,-0.191046823003214,0.95 confint
2019-10-26,upper.confint,0.191046823003214,0.95 confint
2019-10-27,Pred,0,Pred
2019-10-27,lower.confint,-0.19146763589451,0.95 confint
2019-10-27,upper.confint,0.19146763589451,0.95 confint
2019-10-28,Pred,0,Pred
2019-10-28,lower.confint,-0.182228967300768,0.95 confint
2019-10-28,upper.confint,0.182228967300768,0.95 confint
2019-10-29,Pred,0,Pred
2019-10-29,lower.confint,-0.175190576066309,0.95 confint
2019-10-29,upper.confint,0.175190576066309,0.95 confint
2019-10-30,Pred,0,Pred
2019-10-30,lower.confint,-0.165860341963393,0.95 confint
2019-10-30,upper.confint,0.165860341963393,0.95 confint
2019-10-31,Pred,0,Pred
2019-10-31,lower.confint,-0.15842752446017,0.95 confint
2019-10-31,upper.confint,0.15842752446017,0.95 confint
2019-11-01,Pred,0,Pred
2019-11-01,lower.confint,-0.148706903450641,0.95 confint
2019-11-01,upper.confint,0.148706903450641,0.95 confint
2019-11-02,Pred,0,Pred
2019-11-02,lower.confint,-0.140332556952128,0.95 confint
2019-11-02,upper.confint,0.140332556952128,0.95 confint
2019-11-03,Pred,0,Pred
2019-11-03,lower.confint,-0.131991620155268,0.95 confint
2019-11-03,upper.confint,0.131991620155268,0.95 confint
2019-11-04,Pred,0,Pred
2019-11-04,lower.confint,-0.124697791353334,0.95 confint
2019-11-04,upper.confint,0.124697791353334,0.95 confint
2019-11-05,Pred,0,Pred
2019-11-05,lower.confint,-0.11952209986037,0.95 confint
2019-11-05,upper.confint,0.11952209986037,0.95 confint
2019-11-06,Pred,0,Pred
2019-11-06,lower.confint,-0.113115162746584,0.95 confint
2019-11-06,upper.confint,0.113115162746584,0.95 confint
2019-11-07,Pred,0,Pred
2019-11-07,lower.confint,-0.106673572852078,0.95 confint
2019-11-07,upper.confint,0.106673572852078,0.95 confint
2019-11-08,Pred,0,Pred
2019-11-08,lower.confint,-0.102052374788486,0.95 confint
2019-11-08,upper.confint,0.102052374788486,0.95 confint
2019-11-09,Pred,0,Pred
2019-11-09,lower.confint,-0.10941902908664,0.95 confint
2019-11-09,upper.confint,0.10941902908664,0.95 confint
2019-11-10,Pred,0,Pred
2019-11-10,lower.confint,-0.103317572956566,0.95 confint
2019-11-10,upper.confint,0.103317572956566,0.95 confint
2019-11-11,Pred,0,Pred
2019-11-11,lower.confint,-0.101606511778871,0.95 confint
2019-11-11,upper.confint,0.101606511778871,0.95 confint
2019-11-12,Pred,0,Pred
2019-11-12,lower.confint,-0.10315553347683,0.95 confint
2019-11-12,upper.confint,0.10315553347683,0.95 confint
2019-11-13,Pred,0,Pred
2019-11-13,lower.confint,-0.0982105639139441,0.95 confint
2019-11-13,upper.confint,0.0982105639139441,0.95 confint
2019-11-14,Pred,0,Pred
2019-11-14,lower.confint,-0.0931151100613876,0.95 confint
2019-11-14,upper.confint,0.0931151100613876,0.95 confint
2019-11-15,Pred,0,Pred
2019-11-15,lower.confint,-0.0896912172581189,0.95 confint
2019-11-15,upper.confint,0.0896912172581189,0.95 confint
2019-11-16,Pred,0,Pred
2019-11-16,lower.confint,-0.0875812700485731,0.95 confint
2019-11-16,upper.confint,0.0875812700485731,0.95 confint
2019-11-17,Pred,0,Pred
2019-11-17,lower.confint,-0.083132285883888,0.95 confint
2019-11-17,upper.confint,0.083132285883888,0.95 confint
2019-11-18,Pred,0,Pred
2019-11-18,lower.confint,-0.0789835406464281,0.95 confint
2019-11-18,upper.confint,0.0789835406464281,0.95 confint
2019-11-19,Pred,0,Pred
2019-11-19,lower.confint,-0.0866989378303495,0.95 confint
2019-11-19,upper.confint,0.0866989378303495,0.95 confint
