Date,Line_all,value,Line
2019-11-08,upper.confint,0.103511692380786,0.95 confint
2019-11-09,Pred,0.0025074042419992,Pred
2019-11-09,lower.confint,-0.108952878818362,0.95 confint
2019-11-09,upper.confint,0.11396768730236,0.95 confint
2019-11-10,Pred,-0.000840413881812327,Pred
2019-11-10,lower.confint,-0.103846746866415,0.95 confint
2019-11-10,upper.confint,0.10216591910279,0.95 confint
2019-11-11,Pred,-0.00171171326310582,Pred
2019-11-11,lower.confint,-0.106444175973367,0.95 confint
2019-11-11,upper.confint,0.103020749447155,0.95 confint
2019-11-12,Pred,0.00158933689087257,Pred
2019-11-12,lower.confint,-0.106161510215941,0.95 confint
2019-11-12,upper.confint,0.109340183997686,0.95 confint
2019-11-13,Pred,-0.00122044686716464,Pred
2019-11-13,lower.confint,-0.103750027475907,0.95 confint
2019-11-13,upper.confint,0.101309133741578,0.95 confint
2019-11-14,Pred,-0.000157778955881665,Pred
2019-11-14,lower.confint,-0.0960655834603661,0.95 confint
2019-11-14,upper.confint,0.0957500255486028,0.95 confint
2019-11-15,Pred,0.000114118168083833,Pred
2019-11-15,lower.confint,-0.0931252245451191,0.95 confint
2019-11-15,upper.confint,0.0933534608812868,0.95 confint
2019-11-16,Pred,-1.97249233828412e-07,Pred
2019-11-16,lower.confint,-0.0923892476562781,0.95 confint
2019-11-16,upper.confint,0.0923888531578104,0.95 confint
2019-11-17,Pred,-0.00140589611407381,Pred
2019-11-17,lower.confint,-0.0874710882544762,0.95 confint
2019-11-17,upper.confint,0.0846592960263285,0.95 confint
2019-11-18,Pred,-0.0012264296293956,Pred
2019-11-18,lower.confint,-0.0813467058533925,0.95 confint
2019-11-18,upper.confint,0.0788938465946013,0.95 confint
2019-11-19,Pred,0.000684463858883461,Pred
2019-11-19,lower.confint,-0.0869540050138538,0.95 confint
2019-11-19,upper.confint,0.0883229327316207,0.95 confint
2019-11-20,Pred,-0.00170937665828836,Pred
2019-11-20,lower.confint,-0.0839958572140301,0.95 confint
2019-11-20,upper.confint,0.0805771038974534,0.95 confint
2019-11-21,Pred,-0.00174121632446608,Pred
2019-11-21,lower.confint,-0.07848367825932,0.95 confint
2019-11-21,upper.confint,0.0750012456103878,0.95 confint
2019-11-22,Pred,0.000586613191515206,Pred
2019-11-22,lower.confint,-0.0912483559851133,0.95 confint
2019-11-22,upper.confint,0.0924215823681437,0.95 confint
2019-11-23,Pred,-0.00127040699539092,Pred
2019-11-23,lower.confint,-0.101068684320261,0.95 confint
2019-11-23,upper.confint,0.0985278703294789,0.95 confint
2019-11-24,Pred,-0.00423453126302884,Pred
2019-11-24,lower.confint,-0.0984039086489044,0.95 confint
2019-11-24,upper.confint,0.0899348461228468,0.95 confint
2019-11-25,Pred,-0.00126524001876246,Pred
2019-11-25,lower.confint,-0.109041690540906,0.95 confint
2019-11-25,upper.confint,0.106511210503381,0.95 confint
2019-11-26,Pred,-0.0064005751309711,Pred
2019-11-26,lower.confint,-0.117025241028036,0.95 confint
2019-11-26,upper.confint,0.104224090766094,0.95 confint
2019-11-27,Pred,-0.00446833597507159,Pred
2019-11-27,lower.confint,-0.109756244808159,0.95 confint
2019-11-27,upper.confint,0.100819572858015,0.95 confint
2019-11-28,Pred,-0.00634852189199717,Pred
2019-11-28,lower.confint,-0.124323077540484,0.95 confint
2019-11-28,upper.confint,0.111626033756489,0.95 confint
2019-11-29,Pred,-0.00217931772154464,Pred
2019-11-29,lower.confint,-0.1140124671201,0.95 confint
2019-11-29,upper.confint,0.109653831677011,0.95 confint
2019-11-30,Pred,-0.00510982606717927,Pred
2019-11-30,lower.confint,-0.124921683234862,0.95 confint
2019-11-30,upper.confint,0.114702031100504,0.95 confint
2019-12-01,Pred,-0.0010603413178036,Pred
2019-12-01,lower.confint,-0.118113756166796,0.95 confint
2019-12-01,upper.confint,0.115993073531189,0.95 confint
2019-12-02,Pred,-0.00188541256097388,Pred
2019-12-02,lower.confint,-0.115186534249911,0.95 confint
2019-12-02,upper.confint,0.111415709127963,0.95 confint
2019-12-03,Pred,-0.002424418607555,Pred
2019-12-03,lower.confint,-0.110325123210671,0.95 confint
2019-12-03,upper.confint,0.105476285995561,0.95 confint
2019-12-04,Pred,-0.00309920427172488,Pred
2019-12-04,lower.confint,-0.102322952906916,0.95 confint
2019-12-04,upper.confint,0.096124544363466,0.95 confint
2019-12-05,Pred,-0.00253537772341657,Pred
2019-12-05,lower.confint,-0.0978155810884855,0.95 confint
2019-12-05,upper.confint,0.0927448256416524,0.95 confint
2019-12-06,Pred,-0.00463442801077896,Pred
2019-12-06,lower.confint,-0.103173987926407,0.95 confint
2019-12-06,upper.confint,0.0939051319048495,0.95 confint
2019-12-07,Pred,-0.0037598967464245,Pred
2019-12-07,lower.confint,-0.104209199756771,0.95 confint
2019-12-07,upper.confint,0.0966894062639219,0.95 confint
2019-12-08,Pred,-0.00188898569355695,Pred
2019-12-08,lower.confint,-0.0955650294346782,0.95 confint
2019-12-08,upper.confint,0.0917870580475643,0.95 confint
2019-12-09,Pred,-0.00243592889865178,Pred
2019-12-09,lower.confint,-0.0900624228335637,0.95 confint
2019-12-09,upper.confint,0.0851905650362602,0.95 confint
2019-12-10,Pred,-0.00114537038773915,Pred
2019-12-10,lower.confint,-0.0895615066888628,0.95 confint
2019-12-10,upper.confint,0.0872707659133845,0.95 confint
2019-12-11,Pred,-0.00201470377849149,Pred
2019-12-11,lower.confint,-0.0883946323795528,0.95 confint
2019-12-11,upper.confint,0.0843652248225699,0.95 confint
2019-12-12,Pred,-0.00333270263771099,Pred
2019-12-12,lower.confint,-0.0863736422324249,0.95 confint
2019-12-12,upper.confint,0.0797082369570029,0.95 confint
2019-12-13,Pred,-0.00225665529622091,Pred
2019-12-13,lower.confint,-0.0813167275167393,0.95 confint
2019-12-13,upper.confint,0.0768034169242975,0.95 confint
2019-12-14,Pred,-0.00323597038869344,Pred
2019-12-14,lower.confint,-0.079472760047417,0.95 confint
2019-12-14,upper.confint,0.0730008192700302,0.95 confint
2019-12-15,Pred,-0.00154034242807449,Pred
2019-12-15,lower.confint,-0.0797838556442136,0.95 confint
2019-12-15,upper.confint,0.0767031707880647,0.95 confint
2019-12-16,Pred,-0.00348533656329208,Pred
2019-12-16,lower.confint,-0.0785952020091904,0.95 confint
2019-12-16,upper.confint,0.0716245288826062,0.95 confint
2019-12-17,Pred,-0.00150846031471559,Pred
2019-12-17,lower.confint,-0.0811984624096087,0.95 confint
2019-12-17,upper.confint,0.0781815417801776,0.95 confint
2019-12-18,Pred,-0.00193233562958083,Pred
