ar,ma,garch.p,garch.q,AIC,BIC
0,0,1,1,-3.81269101849586,-3.80061576311829
0,0,2,1,-3.81230216389385,-3.79720809467188
0,0,1,2,-3.81180780119432,-3.79671373197236
0,0,2,2,-3.81182823489742,-3.79371535183107
0,0,3,1,-3.81140567788015,-3.7932927948138
0,0,1,3,-3.81079972212127,-3.79268683905492
0,0,3,2,-3.81113557785854,-3.79000388094779
0,0,2,3,-3.81096703570679,-3.78983533879604
0,0,4,1,-3.80997290475746,-3.78884120784671
0,0,1,4,-3.80934145798548,-3.78820976107473
0,0,3,3,-3.81107330125616,-3.78692279050102
0,0,4,2,-3.80968372913432,-3.78553321837918
0,0,2,4,-3.80951931453333,-3.78536880377819
0,0,5,1,-3.80949283119537,-3.78534232044023
0,0,1,5,-3.80798091024519,-3.78383039949005
0,0,3,4,-3.80963465516552,-3.78246533056598
0,0,4,3,-3.80962020984186,-3.78245088524232
0,0,5,2,-3.80926981724472,-3.78210049264518
0,0,6,1,-3.8085714931905,-3.78140216859096
0,0,2,5,-3.80818740765832,-3.78101808305878
0,0,5,3,-3.80985570933008,-3.77966757088615
0,0,1,6,-3.80683129637241,-3.77966197177288
0,0,4,4,-3.80853876630141,-3.77835062785748
0,0,3,5,-3.80832759641564,-3.77813945797172
0,0,6,2,-3.80815419156244,-3.77796605311852
0,0,7,1,-3.80707092288456,-3.77688278444063
0,0,2,6,-3.80706630637443,-3.7768781679305
0,0,5,4,-3.80875981781965,-3.77555286553133
0,0,6,3,-3.80866304259087,-3.77545609030255
0,0,1,7,-3.80539194633079,-3.77520380788687
0,0,3,6,-3.80723944144609,-3.77403248915777
0,0,4,5,-3.80723170404947,-3.77402475176115
0,0,7,2,-3.80667728407654,-3.77347033178822
0,0,8,1,-3.80559825614056,-3.77239130385224
0,0,2,7,-3.80559519948804,-3.77238824719972
0,0,5,5,-3.80766392414974,-3.77143815801703
0,0,6,4,-3.80756715468106,-3.77134138854834
0,0,7,3,-3.80721440589602,-3.77098863976331
0,0,1,8,-3.8039528583311,-3.77074590604279
0,0,4,6,-3.8061435378622,-3.76991777172948
0,0,3,7,-3.80581801055111,-3.7695922444184
0,0,8,2,-3.80520442035986,-3.76897865422715
0,0,2,8,-3.8041871818943,-3.76796141576159
0,0,6,5,-3.80647125739319,-3.76722667741609
0,0,5,6,-3.80647125729962,-3.76722667732251
0,0,7,4,-3.8061184942466,-3.7668739142695
0,0,8,3,-3.80570250425731,-3.7664579242802
0,0,4,7,-3.80472211843106,-3.76547753845396
0,0,3,8,-3.80434027234484,-3.76509569236774
0,0,5,7,-3.80539809644283,-3.76313470262133
0,0,6,6,-3.80537536166241,-3.76311196784091
0,0,7,5,-3.80502259571789,-3.76275920189639
0,0,8,4,-3.80460659613333,-3.76234320231184
0,0,5,0,-3.78226834903671,-3.76113665212596
0,0,4,8,-3.80324436930798,-3.76098097548648
0,0,6,0,-3.78447693482098,-3.76032642406584
0,0,6,7,-3.80430218939395,-3.75901998172806
0,0,7,6,-3.8039267119023,-3.75864450423641
0,0,5,8,-3.80386846267988,-3.75858625501399
0,0,8,5,-3.80351071472945,-3.75822850706356
0,0,8,0,-3.78808831284324,-3.75790017439932
0,0,7,0,-3.78364852047625,-3.75647919587672
0,0,3,0,-3.77110460959452,-3.75601054037255
0,0,7,7,-3.80320629707493,-3.75490527556464
0,0,6,8,-3.802772561048,-3.75447153953772
0,0,8,6,-3.80241479286542,-3.75411377135513
0,0,4,0,-3.76995824112997,-3.75184535806361
0,0,8,7,-3.80167665599296,-3.75035682063828
0,0,7,8,-3.80167665563331,-3.75035682027863
0,0,8,8,-3.80058076068178,-3.74624211148271
0,0,2,0,-3.73732178526867,-3.7252465298911
0,0,1,0,-3.71711508384501,-3.70805864231183
0,0,0,2,-3.70747638963101,-3.69540113425344
0,0,0,3,-3.70656897879921,-3.69147490957725
0,0,0,4,-3.70558042484114,-3.68746754177478
0,0,0,5,-3.70468280360887,-3.68355110669812
0,0,0,6,-3.7037839437548,-3.67963343299966
0,0,0,7,-3.70289453306468,-3.67572520846514
0,0,0,8,-3.70188403734437,-3.67169589890044
0,0,0,1,,
